Station	Date	Lat	Lon	Aphanizomenon	Nodularia spumigena	Dolichospermum
BCS III-10	2024-07-16	55.55492	18.39967	3	4	
BY1	2024-07-15	55.01580	13.30112	3	3	
BY10	2024-07-16	56.63345	19.58498	3	4	1
BY15 GOTLANDSDJ	2024-07-17	57.31233	20.07583	3	4	1
BY2 ARKONA	2024-07-15	54.97167	14.09950	3	3	
BY20 FÅRÖDJUPET	2024-07-17	57.96223	19.87370	3	3	3
BY29 / LL19	2024-07-17	58.88333	20.33483	4	3	1
BY31 LANDSORTSDJ	2024-07-17	58.59317	18.23450	1		4
BY32 NORRKÖPINGSDJ	2024-07-17	58.01690	17.98480	4	4	1
BY38 KARLSÖDJ	2024-07-18	57.11662	17.66932	3	4	
BY39 ÖLANDS SÖDRA	2024-07-18	56.11667	16.53717	3	3	4
BY4 CHRISTIANSÖ	2024-07-15	55.38343	15.33252	1	4	
BY5 BORNHOLMSDJ	2024-07-16	55.24983	15.98417	1	4	
HANÖBUKTEN	2024-07-18	55.61788	14.86778	1	1	
HUVUDSKÄR	2024-07-17	58.93242	19.15932	4		3
W LANDSKRONA	2024-07-15	55.86665	13.74834			
