startdate	stopdate	cruise_no
2023-09-04 00:00	2023-09-10 23:59	015
2023-10-18 00:00	2023-10-25 23:59	018
2023-10-01 00:00	2023-10-17 23:59	017
2024-08-10 00:00	2024-08-16 23:59	017
2024-08-19 00:00	2024-09-01 23:59 	018
2024-09-14 00:00	2024-09-19 23:59	020
2024-10-18 00:00	2024-10-24 23:59	022
2024-11-08 00:00	2024-11-13 23:59	023
2024-11-15 00:00	2024-11-24 23:59	024
2024-11-27 00:00	2024-12-01 23:59	025
2024-12-04 04:10	2024-12-15 20:00	026
2025-01-09 18:00	2025-01-16 14:30	002
2025-01-20 17:08	2025-02-03 13:48	004
2025-02-06 13:35	2025-02-13 06:54	005
2025-02-17 00:00	2025-02-19 23:59	006
2025-02-20 00:00	2025-03-04 23:59	007
2025-03-08 06:01	2025-03-13 18:30	008
2025-04-07 15:02	2025-04-12 22:02	009
2025-07-14 08:46	2025-07-20 22:00	017
2025-08-09 09:45	2025-08-15 15:00	019
2025-08-18 00:00	2025-08-30 23:59	020
