sample	reason
D20231205	Lab-test
D20231206	Lab-test
D20240131	Lab-test
D20240206	Lab-test
D20240425	Lab-test
D20240426	Lab-test
D20240429	Lab-test
D20240430	Lab-test
D20240502	Lab-test
D20240503	Lab-test
D20240506	Lab-test
D20240507	Lab-test
D20240508	Lab-test
D20240509	Lab-test
D20240510	Lab-test
D20240514	Lab-test
D20240515	Lab-test
D20241031	Harbour-test
D20240607T102611_IFCB134	Corrupt file
D20240607T083544_IFCB134	Corrupt file
D20230312T042912_IFCB134	Ferrybox off
D20230312T045542_IFCB134	Ferrybox off
D20230312T052214_IFCB134	Ferrybox off
D20230312T054844_IFCB134	Ferrybox off
D20230312T061515_IFCB134	Ferrybox off
D20230312T064146_IFCB134	Ferrybox off
D20230312T070818_IFCB134	Ferrybox off
D20230312T073449_IFCB134	Ferrybox off
D20230312T080118_IFCB134	Ferrybox off
D20230312T082748_IFCB134	Ferrybox off
D20230312T085420_IFCB134	Ferrybox off
D20230312T092051_IFCB134	Ferrybox off
D20230312T094722_IFCB134	Ferrybox off
D20230312T101353_IFCB134	Ferrybox off
D20230312T104024_IFCB134	Ferrybox off
D20230312T110654_IFCB134	Ferrybox off
D20230312T104024_IFCB134	Ferrybox off
D20230312T110654_IFCB134	Ferrybox off
D20230920T012944_IFCB134	Bubbles
D20230920T022246_IFCB134	Bubbles
D20230920T031550_IFCB134	Bubbles
D20230920T044707_IFCB134	Bubbles
D20241114T070639_IFCB134	Ferrybox off
D20241114T064031_IFCB134	Ferrybox off
D20241202T103650_IFCB134	No features
D20161017T161534_IFCB110	beads
D20161017T141622_IFCB110	beads
D20250113T213018_IFCB134	Bubbles
D20250114T001902_IFCB134	Bubbles
D20250114T004511_IFCB134	Bubbles
D20250114T011120_IFCB134	Bubbles
D20250114T013730_IFCB134	Bubbles
D20250114T020339_IFCB134	Bubbles
D20250114T022948_IFCB134	Bubbles
D20250114T025558_IFCB134	Bubbles
D20250114T032732_IFCB134	Bubbles
D20250114T035342_IFCB134	Bubbles
D20250114T041952_IFCB134	Bubbles
D20250114T044601_IFCB134	Bubbles
D20250114T051211_IFCB134	Bubbles
D20250114T053824_IFCB134	Bubbles
D20250114T060442_IFCB134	Bubbles
D20250114T063104_IFCB134	Bubbles
D20250114T065831_IFCB134	Bubbles
D20250114T072453_IFCB134	Bubbles
D20250114T131547_IFCB134	Bubbles
D20250114T134201_IFCB134	Bubbles
D20250114T140816_IFCB134	Bubbles
D20250114T143426_IFCB134	Bubbles
D20250114T150036_IFCB134	Bubbles
D20250114T152644_IFCB134	Bubbles
D20250114T155252_IFCB134	Bubbles
D20250114T161902_IFCB134	Bubbles
D20250114T165034_IFCB134	Bubbles
D20250114T171642_IFCB134	Bubbles
D20250213T041909_IFCB134	Bubbles
D20250316	Unfocused
D20250317	Unfocused
D20250318	Unfocused
D20250319	Unfocused
D20250322	Unfocused
D20250323	Unfocused
D20250324	Unfocused
D20250325	Unfocused
D20250326	Unfocused
D20250327	Unfocused
D20250328	Unfocused
D20250329	Unfocused
D20250330	Unfocused
D20250331	Unfocused
D20250401	Unfocused
D20250402	Unfocused
D20250405	Unfocused
D20250407	Unfocused
D20250408	Unfocused
D20250411	Unfocused
D20250720T205709_IFCB134	Bubbles
D20250720T203100_IFCB134	Bubbles
D20250720T191235_IFCB134	Cleaning
D20250313T062209_IFCB134	Cleaning
D20250516	Lab-test
D20250520	Lab-test
D20250522	Lab-test
D20250523	Lab-test
D20250526	Lab-test
D20250602	Lab-test
D20250603	Lab-test
D20250605	Lab-test
D20250609	Lab-test
D20250610	Lab-test
D20250612	Lab-test
D20250617	Lab-test
D20250618	Lab-test
D20250619	Lab-test
D20250824T161450_IFCB134	No data
D20250824T164058_IFCB134	No data
D20250824T170707_IFCB134	No data
D20250828T085847_IFCB134	No data
D20250829T113225_IFCB134	No data
D20250823T040141_IFCB134	Maintenance
D20250823T042749_IFCB134	Maintenance
D20250823T045358_IFCB134	Maintenance
D20250823T052007_IFCB134	Maintenance
D20250823T054615_IFCB134	Maintenance
D20250828T122205_IFCB134	Maintenance
D20250828T124307_IFCB134	Maintenance
D20250829T083729_IFCB134	Maintenance
D20250829T112912_IFCB134	Maintenance
D20250829T115041_IFCB134	Maintenance
D20250829T121904_IFCB134	Maintenance
D20250829T201431_IFCB134	Maintenance
D20250829T204040_IFCB134	Maintenance
D20250829T210648_IFCB134	Maintenance
D20250830T113758_IFCB134	Maintenance
D20250830T114057_IFCB134	Maintenance
D20250830T114956_IFCB134	Maintenance
D20250830T115504_IFCB134	Maintenance
D20250830T122417_IFCB134	Maintenance
D20250830T125026_IFCB134	Maintenance
D20250830T131636_IFCB134	Maintenance
D20250908	Levandeprov
D20250905T071504_IFCB134	Cleaning
D20250905T074112_IFCB134	Cleaning
D20250905T080720_IFCB134	Bubbles
D20250830T154457_IFCB134	Cleaning
D20250830T155340_IFCB134	Cleaning
D20250830T160756_IFCB134	Cleaning
