depth,sample
13,D20161015T171106_IFCB110
13,D20160903T081105_IFCB110
13,D20160827T143833_IFCB110
13,D20160829T170632_IFCB110
13,D20160910T191351_IFCB110
13,D20161009T072100_IFCB110
13,D20160902T131630_IFCB110
13,D20160910T120819_IFCB110
13,D20161004T211752_IFCB110
13,D20160907T214748_IFCB110
13,D20161008T100256_IFCB110
13,D20160910T202446_IFCB110
13,D20161002T022646_IFCB110
13,D20160912T095319_IFCB110
13,D20160822T135054_IFCB110
13,D20161001T150801_IFCB110
13,D20160909T233531_IFCB110
13,D20160907T170514_IFCB110
13,D20160910T231014_IFCB110
13,D20160830T032231_IFCB110
13,D20160914T160446_IFCB110
13,D20161014T000931_IFCB110
13,D20160910T200107_IFCB110
13,D20160831T113356_IFCB110
13,D20161014T071511_IFCB110
13,D20160910T211202_IFCB110
13,D20160823T014058_IFCB110
13,D20161005T135214_IFCB110
13,D20161015T071844_IFCB110
13,D20161011T064018_IFCB110
13,D20160826T220413_IFCB110
13,D20160913T043438_IFCB110
13,D20160828T104518_IFCB110
13,D20160910T215919_IFCB110
13,D20161002T124133_IFCB110
13,D20161013T192540_IFCB110
13,D20160913T065632_IFCB110
13,D20160831T135709_IFCB110
13,D20160812T082059_IFCB110
13,D20160812T223330_IFCB110
13,D20161015T054411_IFCB110
13,D20160818T204433_IFCB110
13,D20160819T035001_IFCB110
13,D20161011T200359_IFCB110
13,D20160811T231714_IFCB110
13,D20160812T040058_IFCB110
13,D20160909T211341_IFCB110
13,D20160904T075043_IFCB110
13,D20160819T180057_IFCB110
13,D20160911T211525_IFCB110
13,D20161009T191011_IFCB110
13,D20161015T034559_IFCB110
13,D20160910T222258_IFCB110
13,D20160908T142044_IFCB110
13,D20160928T151727_IFCB110
13,D20160830T141725_IFCB110
13,D20160821T030911_IFCB110
13,D20161007T102315_IFCB110
13,D20160825T044023_IFCB110
13,D20161002T071032_IFCB110
13,D20161008T144635_IFCB110
13,D20160821T220510_IFCB110
13,D20160910T165200_IFCB110
13,D20160831T091207_IFCB110
13,D20161016T094356_IFCB110
13,D20161016T165050_IFCB110
13,D20160903T054916_IFCB110
13,D20161015T091655_IFCB110
13,D20160821T220510_IFCB110
13,D20160812T174946_IFCB110
13,D20161005T020136_IFCB110
13,D20160819T131718_IFCB110
13,D20160826T042017_IFCB110
13,D20160901T133652_IFCB110
13,D20161015T063127_IFCB110
13,D20161004T211752_IFCB110
13,D20161015T074222_IFCB110
13,D20161004T163407_IFCB110
13,D20161016T001637_IFCB110
13,D20161003T211713_IFCB110
13,D20161006T014129_IFCB110
13,D20160927T005716_IFCB110
13,D20160812T130602_IFCB110
13,D20160901T085149_IFCB110
13,D20160819T153908_IFCB110
13,D20161010T211131_IFCB110
13,D20161015T045654_IFCB110
13,D20160902T034748_IFCB110
13,D20161010T043840_IFCB110
13,D20160826T220413_IFCB110
13,D20160815T163422_IFCB110
13,D20160911T185335_IFCB110
13,D20160819T131718_IFCB110
13,D20160906T075346_IFCB110
13,D20161001T172951_IFCB110
13,D20161007T124505_IFCB110
13,D20160911T211525_IFCB110
13,D20161009T191011_IFCB110
13,D20160906T220613_IFCB110
13,D20160820T200331_IFCB110
13,D20160821T145818_IFCB110
13,D20160825T092402_IFCB110
13,D20160826T112556_IFCB110
13,D20160821T172007_IFCB110
13,D20161002T125650_IFCB110
13,D20161008T025728_IFCB110
